target,model,balanced_accuracy,roc_auc,f1,accuracy,average_precision,n,positive_rate
lactate_abnormal,logistic_l2,0.5336481700118063,0.5409006577837747,0.5209302325581395,0.5296803652968036,0.5208739219492909,219,0.4474885844748858
lactate_abnormal,logistic_l1,0.5375274076572778,0.5489121268342048,0.5381165919282511,0.5296803652968036,0.5360214567520423,219,0.4474885844748858
lactate_abnormal,random_forest,0.5482796424354865,0.5606341710237813,0.4378698224852071,0.5662100456621004,0.5020748861740143,219,0.4474885844748858
lactate_abnormal,mlp,0.5084331253162422,0.51079440040479,0.36809815950920244,0.5296803652968036,0.4628168935692646,219,0.4474885844748858
troponin_abnormal,logistic_l2,0.5390684847556304,0.5485674888922936,0.5023255813953489,0.5327510917030568,0.5785075976018987,229,0.5327510917030568
troponin_abnormal,logistic_l1,0.5525126398038915,0.5509422399264593,0.514018691588785,0.5458515283842795,0.5842671993753912,229,0.5327510917030568
troponin_abnormal,random_forest,0.5133292477401563,0.5431285429753332,0.4694835680751174,0.5065502183406113,0.5770706162788286,229,0.5327510917030568
troponin_abnormal,mlp,0.4659108319289107,0.43013635667228445,0.6309148264984227,0.4890829694323144,0.4912041605190397,229,0.5327510917030568
glucose_abnormal,logistic_l2,0.45355951056729704,0.4590285502410086,0.1592920353982301,0.5581395348837209,0.1732119746896073,215,0.13488372093023257
glucose_abnormal,logistic_l1,0.44975899147200593,0.4512421208750464,0.14953271028037382,0.5767441860465117,0.1546433078998238,215,0.13488372093023257
glucose_abnormal,random_forest,0.49731182795698925,0.4758991472005933,0.0,0.8604651162790697,0.13595722360898452,215,0.13488372093023257
glucose_abnormal,mlp,0.5022246941045606,0.578605858361142,0.09302325581395349,0.8186046511627907,0.1898044099575771,215,0.13488372093023257
po2_abnormal,logistic_l2,0.506453804347826,0.5054347826086957,0.17543859649122806,0.5627906976744186,0.18169758771706473,215,0.10697674418604651
po2_abnormal,logistic_l1,0.5307971014492754,0.5031702898550725,0.19298245614035087,0.5720930232558139,0.17942663797649647,215,0.10697674418604651
po2_abnormal,random_forest,0.484375,0.49637681159420294,0.0,0.8651162790697674,0.11484358654967645,215,0.10697674418604651
po2_abnormal,mlp,0.5,0.5083786231884058,0.0,0.8930232558139535,0.1280437354874865,215,0.10697674418604651
pco2_abnormal,logistic_l2,0.5200534759358288,0.490975935828877,0.3037974683544304,0.5319148936170213,0.19904342111967338,235,0.20425531914893616
pco2_abnormal,logistic_l1,0.5200534759358288,0.491421568627451,0.3037974683544304,0.5319148936170213,0.20354572154649575,235,0.20425531914893616
pco2_abnormal,random_forest,0.47565730837789666,0.42713903743315507,0.03225806451612903,0.7446808510638298,0.18024362852135806,235,0.20425531914893616
pco2_abnormal,mlp,0.47833110516934046,0.44585561497326204,0.03278688524590164,0.7489361702127659,0.18382513841351686,235,0.20425531914893616
hemoglobin_low,logistic_l2,0.48266745005875444,0.47356051703877794,0.2204724409448819,0.5520361990950227,0.1718643674750188,221,0.167420814479638
hemoglobin_low,logistic_l1,0.46636310223266747,0.46974148061104587,0.21052631578947367,0.5248868778280543,0.1645635602374973,221,0.167420814479638
hemoglobin_low,random_forest,0.48097826086956524,0.39997062279670975,0.0,0.8009049773755657,0.13987935271325191,221,0.167420814479638
hemoglobin_low,mlp,0.5135135135135135,0.49941245593419503,0.05263157894736842,0.8371040723981901,0.21707690299667753,221,0.167420814479638
