target,model,feature,importance
troponin_abnormal,logistic_l2,n_rr,0.2138379997730758
troponin_abnormal,logistic_l2,ecg_max,0.4149623302290492
troponin_abnormal,logistic_l2,ecg_min,0.21610130419772317
troponin_abnormal,logistic_l2,ecg_ptp,0.19664889687008275
troponin_abnormal,logistic_l2,ecg_rms,0.0820131940898259
troponin_abnormal,logistic_l2,ecg_skewness,0.42213840176113077
troponin_abnormal,logistic_l2,ecg_kurtosis,0.19689136017944864
troponin_abnormal,logistic_l2,ecg_zero_crossing_rate,0.3789742517525163
troponin_abnormal,logistic_l2,ecg_mean_abs,0.06379452564011426
troponin_abnormal,logistic_l2,ecg_total_power,0.020023685491899285
troponin_abnormal,logistic_l2,ecg_vlf_power,0.0
troponin_abnormal,logistic_l2,ecg_lf_power,0.24301160498452484
troponin_abnormal,logistic_l2,ecg_hf_power,0.25690483542581494
troponin_abnormal,logistic_l2,ecg_vlf_norm,0.0
troponin_abnormal,logistic_l2,ecg_lf_norm,0.15488378017256216
troponin_abnormal,logistic_l2,ecg_hf_norm,0.0422947018303185
troponin_abnormal,logistic_l2,ecg_lf_hf_ratio,0.07206532659143622
troponin_abnormal,logistic_l2,ecg_spectral_centroid,0.20895000817892856
troponin_abnormal,logistic_l1,hr,0.14242100715637207
troponin_abnormal,logistic_l1,sdnn,0.0
troponin_abnormal,logistic_l1,rmssd,0.00938722025603056
troponin_abnormal,logistic_l1,pnn50,0.01937619037926197
troponin_abnormal,logistic_l1,n_rr,0.2546001374721527
troponin_abnormal,logistic_l1,ecg_max,0.33711177110671997
troponin_abnormal,logistic_l1,ecg_min,0.0
troponin_abnormal,logistic_l1,ecg_ptp,0.0
troponin_abnormal,logistic_l1,ecg_rms,0.06781650334596634
troponin_abnormal,logistic_l1,ecg_skewness,0.19418135285377502
troponin_abnormal,logistic_l1,ecg_kurtosis,0.13026757538318634
troponin_abnormal,logistic_l1,ecg_zero_crossing_rate,0.3026537299156189
troponin_abnormal,logistic_l1,ecg_mean_abs,0.0
troponin_abnormal,logistic_l1,ecg_total_power,0.0006437223637476563
troponin_abnormal,logistic_l1,ecg_vlf_power,0.0
troponin_abnormal,logistic_l1,ecg_lf_power,0.14619523286819458
troponin_abnormal,logistic_l1,ecg_hf_power,0.12152302265167236
troponin_abnormal,logistic_l1,ecg_vlf_norm,0.0
troponin_abnormal,logistic_l1,ecg_lf_norm,0.09270066022872925
troponin_abnormal,logistic_l1,ecg_hf_norm,0.0
troponin_abnormal,logistic_l1,ecg_lf_hf_ratio,0.01768447645008564
troponin_abnormal,logistic_l1,ecg_spectral_centroid,0.06938863545656204
troponin_abnormal,random_forest,hr,0.031012415865955753
troponin_abnormal,random_forest,sdnn,0.041299010834116606
troponin_abnormal,random_forest,rmssd,0.0346935282581253
troponin_abnormal,random_forest,pnn50,0.02097770152283453
troponin_abnormal,random_forest,n_rr,0.0448806334900037
troponin_abnormal,random_forest,ecg_max,0.08793326380745514
troponin_abnormal,random_forest,ecg_min,0.05895093372662849
troponin_abnormal,random_forest,ecg_ptp,0.05952117146331371
troponin_abnormal,random_forest,ecg_rms,0.00334321499582656
troponin_abnormal,random_forest,ecg_skewness,0.06093809420098551
troponin_abnormal,random_forest,ecg_kurtosis,0.04789782686281402
troponin_abnormal,random_forest,ecg_zero_crossing_rate,0.06362716067944137
troponin_abnormal,random_forest,ecg_mean_abs,0.05044596802103589
troponin_abnormal,random_forest,ecg_total_power,0.0796678258032622
troponin_abnormal,random_forest,ecg_vlf_power,0.0
troponin_abnormal,random_forest,ecg_lf_power,0.053992674821358735
troponin_abnormal,random_forest,ecg_hf_power,0.046991538871553225
troponin_abnormal,random_forest,ecg_vlf_norm,0.0
troponin_abnormal,random_forest,ecg_lf_norm,0.056075241823923976
troponin_abnormal,random_forest,ecg_hf_norm,0.04593630970868506
troponin_abnormal,random_forest,ecg_lf_hf_ratio,0.051435423931050564
troponin_abnormal,random_forest,ecg_spectral_centroid,0.06038006131162958
troponin_abnormal,mlp,hr,0.0
troponin_abnormal,mlp,sdnn,0.0
troponin_abnormal,mlp,rmssd,0.0
troponin_abnormal,mlp,pnn50,0.0
troponin_abnormal,mlp,n_rr,0.0
troponin_abnormal,mlp,ecg_max,0.0
troponin_abnormal,mlp,ecg_min,0.0
troponin_abnormal,mlp,ecg_ptp,0.0
troponin_abnormal,mlp,ecg_rms,0.0
troponin_abnormal,mlp,ecg_skewness,0.0
troponin_abnormal,mlp,ecg_kurtosis,0.0
troponin_abnormal,mlp,ecg_zero_crossing_rate,0.0
troponin_abnormal,mlp,ecg_mean_abs,0.0
troponin_abnormal,mlp,ecg_total_power,0.0
troponin_abnormal,mlp,ecg_vlf_power,0.0
troponin_abnormal,mlp,ecg_lf_power,0.0
troponin_abnormal,mlp,ecg_hf_power,0.0
troponin_abnormal,mlp,ecg_vlf_norm,0.0
troponin_abnormal,mlp,ecg_lf_norm,0.0
troponin_abnormal,mlp,ecg_hf_norm,0.0
troponin_abnormal,mlp,ecg_lf_hf_ratio,0.0
troponin_abnormal,mlp,ecg_spectral_centroid,0.0
glucose_abnormal,logistic_l2,hr,0.0378737831855057
glucose_abnormal,logistic_l2,sdnn,1.0775631835787791
glucose_abnormal,logistic_l2,rmssd,1.0684315319856537
glucose_abnormal,logistic_l2,pnn50,0.06394771323639974
glucose_abnormal,logistic_l2,n_rr,0.3500162688701292
glucose_abnormal,logistic_l2,ecg_max,0.22975031000607288
glucose_abnormal,logistic_l2,ecg_min,0.045705590351191344
glucose_abnormal,logistic_l2,ecg_ptp,0.14629049209530856
glucose_abnormal,logistic_l2,ecg_rms,0.20354356304206692
glucose_abnormal,logistic_l2,ecg_skewness,0.3184289896900311
glucose_abnormal,logistic_l2,ecg_kurtosis,0.3024405360015733
glucose_abnormal,logistic_l2,ecg_zero_crossing_rate,0.5991410241801578
glucose_abnormal,logistic_l2,ecg_mean_abs,0.09565521970049928
glucose_abnormal,logistic_l2,ecg_total_power,0.008483713876367562
glucose_abnormal,logistic_l2,ecg_vlf_power,0.0
glucose_abnormal,logistic_l2,ecg_lf_power,0.20779655087593726
glucose_abnormal,logistic_l2,ecg_hf_power,0.16356684363393773
glucose_abnormal,logistic_l2,ecg_vlf_norm,0.0
glucose_abnormal,logistic_l2,ecg_lf_norm,0.010469859179139255
glucose_abnormal,logistic_l2,ecg_hf_norm,0.0643267896330164
glucose_abnormal,logistic_l2,ecg_lf_hf_ratio,0.2088465456144153
glucose_abnormal,logistic_l2,ecg_spectral_centroid,0.34112127179665985
glucose_abnormal,logistic_l1,hr,0.004919386003166437
glucose_abnormal,logistic_l1,sdnn,0.8172014951705933
glucose_abnormal,logistic_l1,rmssd,0.8257637023925781
glucose_abnormal,logistic_l1,pnn50,0.04448409751057625
glucose_abnormal,logistic_l1,n_rr,0.2055155634880066
glucose_abnormal,logistic_l1,ecg_max,0.0
glucose_abnormal,logistic_l1,ecg_min,0.0
glucose_abnormal,logistic_l1,ecg_ptp,0.0
glucose_abnormal,logistic_l1,ecg_rms,0.16167746484279633
glucose_abnormal,logistic_l1,ecg_skewness,0.08797764778137207
glucose_abnormal,logistic_l1,ecg_kurtosis,0.1363072395324707
glucose_abnormal,logistic_l1,ecg_zero_crossing_rate,0.5134617686271667
glucose_abnormal,logistic_l1,ecg_mean_abs,0.018497616052627563
glucose_abnormal,logistic_l1,ecg_total_power,0.005047134589403868
glucose_abnormal,logistic_l1,ecg_vlf_power,0.0
glucose_abnormal,logistic_l1,ecg_lf_power,0.10082386434078217
glucose_abnormal,logistic_l1,ecg_hf_power,0.02133619599044323
glucose_abnormal,logistic_l1,ecg_vlf_norm,0.0
glucose_abnormal,logistic_l1,ecg_lf_norm,0.0
glucose_abnormal,logistic_l1,ecg_hf_norm,0.0
glucose_abnormal,logistic_l1,ecg_lf_hf_ratio,0.1032099574804306
glucose_abnormal,logistic_l1,ecg_spectral_centroid,0.2958366274833679
glucose_abnormal,random_forest,hr,0.03573818625849461
glucose_abnormal,random_forest,sdnn,0.045233207008234896
glucose_abnormal,random_forest,rmssd,0.05092312666861964
glucose_abnormal,random_forest,pnn50,0.021970862884536344
glucose_abnormal,random_forest,n_rr,0.037175103646312976
glucose_abnormal,random_forest,ecg_max,0.062244047526226996
glucose_abnormal,random_forest,ecg_min,0.04663381558250039
glucose_abnormal,random_forest,ecg_ptp,0.059754737326537424
glucose_abnormal,random_forest,ecg_rms,0.0034897243693740236
glucose_abnormal,random_forest,ecg_skewness,0.07039813412463922
glucose_abnormal,random_forest,ecg_kurtosis,0.058448367867179836
glucose_abnormal,random_forest,ecg_zero_crossing_rate,0.06382177086618804
glucose_abnormal,random_forest,ecg_mean_abs,0.05506270295086867
glucose_abnormal,random_forest,ecg_total_power,0.057775698036946176
glucose_abnormal,random_forest,ecg_vlf_power,0.0
