,n,r2_surgery,r2_surgery_ecg,mae_surgery,mae_surgery_ecg,delta_r2,p_value
lactate,222.0,-0.14688341287169937,-0.1892492458905704,0.508667391015165,0.5405472930935674,-0.042365833018871035,0.821
troponin,250.0,0.28074264811523064,0.16673728329701612,360.41582776703234,378.79437427189873,-0.11400536481821452,0.79
glucose,252.0,0.09689126344034193,0.05140240831621894,1.746046119442537,1.742896073094527,-0.045488855124123,0.763
hemoglobin,283.0,0.19971472325306877,0.04026048939333269,4.634708174860562,5.068729927295652,-0.1594542338597361,0.919
po2,255.0,-0.3224661275828574,-0.48701955546931475,77.46421343845522,80.17007991552447,-0.16455342788645733,0.781
pco2,222.0,-0.4937038247770724,-0.5169333712646129,2.4646873949454684,2.66940294852472,-0.023229546487540498,0.875
