,n,r2_B0,r2_B1,r2_B2,r2_B3,mae_B2,mae_B3,delta_r2_B3_B2,p_b3_vs_b2
lactate,400.0,-0.022127801525809777,-0.03608316843034261,0.3326016548435432,0.3035906910773466,0.42826298755282244,0.45447018824558094,-0.029010963766196607,0.87
troponin,409.0,-0.9485094820555036,-1.1048909512160392,0.08215040336979355,-0.2990932513418159,460.6008003799569,524.5127398966212,-0.3812436547116095,0.908
glucose,409.0,-0.05542738683710291,-0.038372929430375714,0.2809371347785694,0.2472563928820227,1.7101132087274427,1.7415035355058393,-0.03368074189654671,0.935
hemoglobin,409.0,-0.06723952163306164,0.022133203741489905,0.8846832201267155,0.8756246226188942,3.94323453133966,4.022142813741587,-0.009058597507821342,0.938
po2,400.0,-0.03925193602958603,0.07812302194819261,0.05976523781250036,-0.023665616600902183,61.72358202102671,64.58860875024995,-0.08343085441340253,0.925
pco2,400.0,-0.041187814814190024,-0.04649930807224809,0.45745245206194624,0.4097080948737454,2.178416120439715,2.318876571433487,-0.04774435718820086,0.942
