,n,n_pos,auc_B2,auc_B3,bacc_B2,bacc_B3,delta_auc,delta_bacc
lactate,400.0,113.0,0.8752533998515768,0.8350750190144179,0.8218493986943644,0.7728652166146729,-0.040178380837158856,-0.04898418207969146
troponin,409.0,305.0,0.7571982811147866,0.7034118662876244,0.6394518548766979,0.672003867015477,-0.05378641482716218,0.03255201213877912
glucose,409.0,202.0,0.8053184164707587,0.7819158224187839,0.7714537790448726,0.7511489195548096,-0.023402594051974868,-0.020304859490063
hemoglobin,409.0,316.0,0.9431245028222982,0.9251031127504701,0.8883728121882866,0.8411681892516117,-0.018021390071828125,-0.04720462293667482
po2,400.0,14.0,,,0.46683802816901404,0.6473763693270735,,0.1805383411580595
pco2,400.0,121.0,0.5649061871987134,0.48149065280802245,0.5474407191281248,0.4825452382068245,-0.08341553439069099,-0.06489548092130026
