,n,r2_B0,r2_B1,r2_B2,r2_B3,mae_B2,mae_B3,delta_r2_B3_B2,p_B3_vs_B2,ecg_adds_value
lactate,400,-0.022127801525809777,0.3158446656288884,0.321637837975633,0.2963179155885203,0.4382227486449496,0.4637311173652014,-0.025319922387112725,0.87,False
troponin,409,-0.9485094820555036,0.12704087131655856,-0.47741177280131764,-0.9604542515129978,555.4676812467652,612.3013534196879,-0.48304247871168016,0.825,False
glucose,409,-0.05542738683710291,0.2826847799296681,0.08036925976334161,0.051846249070483116,1.918334623782632,1.9420384257750913,-0.028523010692858494,0.873,False
hemoglobin,409,-0.06723952163306164,0.8848469935669467,0.8819616658568388,0.8759894572539743,4.024763009854052,4.082165572896335,-0.005972208602864515,0.897,False
po2,400,-0.03925193602958603,-0.05756416800732476,0.08898316369188466,0.014567970009784515,58.418632316997375,61.01812481212983,-0.07441519368210014,0.9299999999999999,False
pco2,400,-0.041187814814190024,0.45769083714015063,0.48207856532790627,0.44417500437121404,2.256044231680663,2.3690839702262774,-0.03790356095669223,0.908,False
