,lactate,troponin,glucose,hemoglobin,po2,pco2
lactate,1.0,0.03541775632313465,-0.03899037810628867,0.22546252328576902,-0.20681926579490106,0.15909471504144782
troponin,0.03541775632313465,1.0,0.0018262569557400505,-0.07651383951081588,0.0809344566491317,0.14573910157955453
glucose,-0.03899037810628867,0.0018262569557400505,1.0,-0.3010738884089805,-0.12455372757404294,-0.15114948665574965
hemoglobin,0.22546252328576902,-0.07651383951081588,-0.3010738884089805,1.0,-0.5533811412640101,0.10156529552001012
po2,-0.20681926579490106,0.0809344566491317,-0.12455372757404294,-0.5533811412640101,1.0,-0.07645159015457995
pco2,0.15909471504144782,0.14573910157955453,-0.15114948665574965,0.10156529552001012,-0.07645159015457995,1.0
