,lactate,troponin,glucose,hemoglobin,po2,pco2
lactate,1.0,-0.24925434555652679,-0.022777530145991657,0.3716364550752911,-0.26659277440729207,0.19244716232954462
troponin,-0.24925434555652679,1.0,0.25343850234269955,-0.550993249092848,0.4494779597715519,-0.031681984601119664
glucose,-0.022777530145991657,0.25343850234269955,1.0,-0.4442216927681152,0.2143390286537156,-0.12401485533199917
hemoglobin,0.3716364550752911,-0.550993249092848,-0.4442216927681152,1.0,-0.5549575898030806,0.10660304353501251
po2,-0.26659277440729207,0.4494779597715519,0.2143390286537156,-0.5549575898030806,1.0,-0.07457673470761307
pco2,0.19244716232954462,-0.031681984601119664,-0.12401485533199917,0.10660304353501251,-0.07457673470761307,1.0
