,lactate,troponin,glucose,hemoglobin,po2,pco2
lactate,1.0,0.03541775632313465,0.1201168250522601,0.1298870269541918,-0.20681926579490106,0.15909471504144782
troponin,0.03541775632313465,1.0,0.08065197593541538,-0.02060297969465461,0.0809344566491317,0.14573910157955453
glucose,0.1201168250522601,0.08065197593541538,1.0,-0.14617019465235653,0.21955787736226806,0.011395404448079183
hemoglobin,0.1298870269541918,-0.02060297969465461,-0.14617019465235653,1.0,-0.1333505661345776,-0.006335441201503117
po2,-0.20681926579490106,0.0809344566491317,0.21955787736226806,-0.1333505661345776,1.0,-0.07645159015457995
pco2,0.15909471504144782,0.14573910157955453,0.011395404448079183,-0.006335441201503117,-0.07645159015457995,1.0
