,lactate,troponin,glucose,hemoglobin,po2,pco2
lactate,1.0,-0.24925434555652679,0.0628501940786413,0.23429792597642776,-0.26659277440729207,0.19244716232954462
troponin,-0.24925434555652679,1.0,0.2938232104649228,-0.3825927096471354,0.4494779597715519,-0.031681984601119664
glucose,0.0628501940786413,0.2938232104649228,1.0,-0.16167841469885547,0.29275503380748497,-0.01860334019412709
hemoglobin,0.23429792597642776,-0.3825927096471354,-0.16167841469885547,1.0,-0.30427210033335617,0.012924839573621848
po2,-0.26659277440729207,0.4494779597715519,0.29275503380748497,-0.30427210033335617,1.0,-0.07457673470761307
pco2,0.19244716232954462,-0.031681984601119664,-0.01860334019412709,0.012924839573621848,-0.07457673470761307,1.0
